' ’	1.000000
'ｍ ’Ｍ	1.000000
'ｔ ’Ｔ	1.000000
; UNK	1.000000
= ＝	1.000000
\ UNK	1.000000
\\ UNK	1.000000
| UNK	1.000000
” ”	1.000000
→ やじるし	1.000000
　 UNK	0.009470
　 くうはく	0.990530
、 、	1.000000
。 。	1.000000
「 「	1.000000
」 」	1.000000
『 「	1.000000
』 」	1.000000
あ あ	1.000000
あげ あげ	1.000000
あげれ あげれ	1.000000
あた あた	1.000000
あなた あなた	1.000000
あまり あまり	1.000000
あらかじめ あらかじめ	1.000000
あらゆる あらゆる	1.000000
あり あり	1.000000
ある ある	1.000000
あるいは あるいは	1.000000
い い	1.000000
いえ いえ	1.000000
いかに いかに	1.000000
いく いく	1.000000
いまだ いまだ	1.000000
いまわし いまわし	1.000000
いわゆる いわゆる	1.000000
う う	1.000000
うち うち	1.000000
うま うま	1.000000
え え	1.000000
お お	1.000000
おうとう おうとう	1.000000
おけ おけ	1.000000
おこな おこな	1.000000
および および	1.000000
おんせい おんせい	1.000000
か か	1.000000
かか かか	1.000000
かかわ かかわ	1.000000
かけ かけ	1.000000
かっ かっ	1.000000
かつ かつ	1.000000
かな かな	1.000000
かなり かなり	1.000000
かぶ かぶ	1.000000
から から	1.000000
からし からし	1.000000
かれ かれ	1.000000
かわい かわい	1.000000
が が	1.000000
がち がち	1.000000
き き	1.000000
きかい きかい	1.000000
きた きた	1.000000
きれい きれい	1.000000
く く	1.000000
くる くる	1.000000
ぐらい ぐらい	1.000000
けれ けれ	1.000000
けんさく けんさく	1.000000
げんご げんご	1.000000
こうがく こうがく	1.000000
ここ ここ	1.000000
こちら こちら	1.000000
こと こと	1.000000
この この	1.000000
こゆう こゆう	1.000000
これ これ	1.000000
ころ ころ	1.000000
ごう ごう	1.000000
ごうせい ごうせい	1.000000
ごと ごと	1.000000
ごめん ごめん	1.000000
ごろ ごろ	1.000000
さ さ	1.000000
さえ さえ	1.000000
さまざま さまざま	1.000000
さらに さらに	1.000000
し し	1.000000
しか しか	1.000000
しかし しかし	1.000000
しかしまだ しかしまだ	1.000000
しぜん しぜん	1.000000
したが したが	1.000000
しつもん しつもん	1.000000
しばしば しばしば	1.000000
しま しま	1.000000
しも しも	1.000000
しゃべ しゃべ	1.000000
しょり しょり	1.000000
しれ しれ	1.000000
し直 しなお	1.000000
じ じ	1.000000
じどう じどう	1.000000
じにんしき じにんしき	1.000000
じょうほう じょうほう	1.000000
す す	1.000000
すか すか	1.000000
すぎ すぎ	1.000000
すでに すでに	1.000000
すなわち すなわち	1.000000
すべ すべ	1.000000
すべて すべて	1.000000
する する	1.000000
すれ すれ	1.000000
ず ず	1.000000
ずっと ずっと	1.000000
せ せ	1.000000
せい せい	1.000000
せよ せよ	1.000000
せれ せれ	1.000000
そう そう	1.000000
そこ そこ	1.000000
そして そして	1.000000
その その	1.000000
それ それ	1.000000
それぞれ それぞれ	1.000000
た た	1.000000
ただ ただ	1.000000
ただし ただし	1.000000
たち たち	1.000000
たとえば たとえば	1.000000
